frequency_Points/Hz,freqiency_test/Hz,cycles,Amplitude
2,2,10,1
3,3,10,1
4,4,10,1
5,5,10,1
6,6,10,1
8,8,10,1
10,10,10,1
12,12,10,1
14,14,10,1
16,16,10,1
18,18,10,1
20,20,10,1
22,22,10,1
24,24,10,1
26,26,10,1
28,28,10,1
30,30,10,1
32,32,10,1
34,34,10,1
36,36,10,1
38,38,10,1
40,40,10,1
42,42,10,1
44,44,10,1
46,46,10,1
48,48,10,1
49,49,10,1
49.5,49.5,10,1
50,50,10,1
50.5,50.5,10,1
51,51,10,1
52,52,10,1
54,54,10,1
56,56,10,1
58,58,10,1
60,60,10,1
62,62,10,1
64,64,10,1
66,66,10,1
68,68,10,1
70,70,10,1
72,72,10,1
74,74,10,1
76,76,10,1
78,78,10,1
80,80,10,1
82,82,10,1
84,84,10,1
86,86,10,1
88,88,10,1
90,90,10,1
92,92,10,1
94,94,10,1
96,96,10,1
98,98,10,1
100,100,20,1
110,110,20,1
120,120,20,1
130,130,20,1
140,140,20,1
150,150,20,1
160,160,20,1
170,170,20,1
180,180,20,1
190,190,20,1
200,200,20,1
210,210,20,1
220,220,20,1
230,230,20,1
240,240,20,1
250,250,20,1
260,260,20,1
270,270,20,1
280,280,20,1
290,290,20,1
300,300,20,1
310,310,20,1
320,320,20,1
330,330,20,1
340,340,20,1
350,350,20,1
360,360,20,1
370,370,20,1
380,380,20,1
390,390,20,1
400,400,20,1
