frequency_Points/Hz,freqiency_test/Hz,cycles,Amplitude
10,10,10,1
11.51395399,11.51395399,10,1
13.25711366,13.25711366,10,1
15.26417967,15.26417967,10,1
17.57510625,17.57510625,10,1
20.23589648,20.23589648,10,1
23.29951811,23.29951811,10,1
26.82695795,26.82695795,10,1
30.88843596,30.88843596,10,1
35.56480306,35.56480306,10,1
40.94915062,40.94915062,10,1
47.14866363,47.14866363,10,1
54.28675439,54.28675439,10,1
62.50551925,62.50551925,10,1
71.9685673,71.9685673,10,1
82.86427729,82.86427729,10,1
95.40954763,95.40954763,10,1
109.8541142,109.8541142,10,1
126.4855217,126.4855217,10,1
145.6348478,145.6348478,10,1
167.6832937,167.6832937,10,1
193.0697729,193.0697729,10,1
222.2996483,222.2996483,10,1
255.9547923,255.9547923,10,1
294.7051703,294.7051703,10,1
339.3221772,339.3221772,10,1
390.6939937,390.6939937,10,1
449.8432669,449.8432669,10,1
517.9474679,517.9474679,10,1
596.3623317,596.3623317,10,1
686.648845,686.648845,10,1
790.6043211,790.6043211,10,1
910.298178,910.298178,10,1
1048.113134,1048.113134,10,1
1206.792641,1206.792641,10,1
1389.495494,1389.495494,10,1
1599.85872,1599.85872,10,1
1842.069969,1842.069969,10,1
2120.950888,2120.950888,10,1
2442.053095,2442.053095,10,1
2811.768698,2811.768698,10,1
3237.457543,3237.457543,10,1
3727.59372,3727.59372,10,1
4291.93426,4291.93426,10,1
4941.713361,4941.713361,10,1
5689.866029,5689.866029,10,1
6551.285569,6551.285569,10,1
7543.120063,7543.120063,10,1
8685.113738,8685.113738,10,1
10000,10000,10,1
